Price,Close,High,Low,Open,Volume
Ticker,SPY,SPY,SPY,SPY,SPY
Date,,,,,
2017-10-20,225.7635040283203,225.78987219631168,224.58689152400248,225.40351422263336,89176400
2017-10-23,224.8853759765625,226.114711163555,224.80635187972666,226.08836979794305,63915300
2017-10-24,225.28053283691406,225.51760513750224,224.92051629363363,225.3156635915282,66935900
2017-10-25,224.1654052734375,225.0610520952092,223.03268610938525,224.94689722032334,103715300
2017-10-26,224.4552001953125,225.05228921451797,224.3322693149784,224.78009947784355,69798000
2017-10-27,226.2903289794922,226.4484039824023,224.4639316285266,225.20151672008473,85562500
2017-10-30,225.44740295410156,226.1937775150859,225.14885848909145,225.20154123015686,54285700
2017-10-31,225.79859924316406,226.05325032139146,225.50005481903153,225.82494061009004,60304800
2017-11-01,226.09718322753906,226.9225819315256,225.7284040260501,226.58014410157156,54202700
2017-11-02,226.1849822998047,226.3254785379996,224.9556737117461,226.02693408067947,56449500
2017-11-03,226.9401092529297,226.98400259656225,225.9302943802501,226.34299363866583,59589700
2017-11-06,227.29127502441406,227.42298181666416,226.7380797000578,226.8083143902892,49652600
2017-11-07,227.13333129882812,227.73042022947897,226.6240290721003,227.39674500443346,57502200
2017-11-08,227.51963806152344,227.61624094116135,226.67668749709352,226.95767995087525,50469600
2017-11-09,226.69427490234375,226.8874538720574,225.10492299879465,226.3079169629165,95085500
2017-11-10,226.62399291992188,226.7996198935873,225.99177333040575,226.30789652362077,59984700
2017-11-13,226.83470153808594,227.06301122201046,225.90393762242473,225.93906837308495,50228600
2017-11-14,226.3079376220703,226.4133031066388,225.24543979319404,226.02694513194177,61315200
2017-11-15,225.17514038085938,225.8600426307149,224.46389676742908,225.3331885623081,80811500
2017-11-16,227.0894317626953,227.45823778093717,226.07964340365962,226.12353675960526,67777000
2017-11-17,226.42201232910156,227.0630212716927,226.34298823430197,226.7381355052124,75756800
2017-11-20,226.8083953857422,227.00157434899702,226.42203745923254,226.66792595511632,48075500
2017-11-21,228.29238891601562,228.4768053153521,226.7733251488569,227.58114508120178,69176800
2017-11-22,228.0903778076172,228.43281553629973,227.923540238263,228.3011087175757,45033400
2017-11-24,228.6172332763672,228.72262554125498,228.44163309538325,228.58212931831912,27856500
2017-11-27,228.50314331054688,228.95973601352,228.30117493198543,228.6611915388546,52274900
2017-11-28,230.8211669921875,230.84750835245785,228.87182594145887,228.96842879372193,98971700
2017-11-29,230.68072509765625,231.48857166425947,230.23292186766633,230.95292815015088,77512100
2017-11-30,232.7003173828125,233.61350257626265,231.52369173989916,231.6027158356643,127894400
2017-12-01,232.21737670898438,232.96375118498352,228.96849192656907,232.48081718123322,164390900
2017-12-04,231.9364013671875,234.27207398270193,231.88369183740713,233.84182273198832,94040600
2017-12-05,231.1022186279297,232.8232504663681,230.97051179280436,231.1022186279297,77994500
2017-12-06,231.14613342285156,231.5764115200741,230.68075136428126,231.19881616179032,75898600
2017-12-07,231.8749542236328,232.19105065488048,230.88271798624396,231.8749542236328,77218600
2017-12-08,233.139404296875,233.14816688909153,231.8398341601033,232.83207044326272,76563900
2017-12-11,233.841796875,233.90326898885155,233.11300128632516,233.841796875,83077500
2017-12-12,234.25454711914062,234.72871856268947,233.87697856081323,234.63211567746802,85195800
2017-12-13,234.2281951904297,234.93943892523032,234.14038169789177,234.50039825945632,102905400
2017-12-14,233.27105712890625,234.64086167078423,233.21837440013493,234.5267068261424,100666700
2017-12-15,235.2136688232422,235.6814297056942,234.22519502892033,234.27814705833822,144610300
2017-12-18,236.70518493652344,237.05820740084656,236.5110185410626,236.6169225869708,83653600
2017-12-19,235.79612731933594,236.9964090238402,235.72550666972617,236.9522913182487,82382900
2017-12-20,235.67254638671875,236.81987603073307,235.37247597111323,236.76692401232535,76751500
2017-12-21,236.15794372558594,236.8728498262972,235.91082533376795,236.29915808289405,67032300
2017-12-22,236.0961456298828,236.21088395975687,235.55776429752316,236.17557364274634,78720900
2017-12-26,235.81373596191406,236.0343783267174,235.54897589770303,235.69016330936063,45244400
2017-12-27,235.92852783203125,236.29038462447807,235.6549333923085,235.981479856888,57751000
2017-12-28,236.41392517089844,236.45806981323372,236.0432610050545,236.43159380138772,45116100
2017-12-29,235.5225372314453,237.01408217926866,235.32839775396488,236.99644048146766,96007400
2018-01-02,237.208251953125,237.2435622831173,235.99913575631692,236.38746858456201,86655700
